question,subscale,reverse,response,score
"While I was working on the task I was thinking about how much I enjoyed it.",interest,0,3,3
"I did not feel at all nervous about doing the task.",pressure,1,6,2
"I felt that it was my choice to do the task.",choice,0,6,6
"I think I am pretty good at this task.",competence,0,4,4
"I found the task very interesting.",interest,0,5,5
"I felt tense while doing the task.",pressure,0,5,5
"I think I did pretty well at this activity, compared to others.",competence,0,4,4
"Doing the task was fun.",interest,0,3,3
"I felt relaxed while doing the task.",pressure,1,3,5
"It was important to me to do well at this task.",effort,0,6,6
"I enjoyed doing the task very much.",interest,0,3,3
"I put a lot of effort into this.",effort,0,6,6
"I didn’t really have a choice about doing the task.",choice,1,2,6
"I am satisfied with my performance at this task.",competence,0,4,4
"I was anxious while doing the task.",pressure,0,4,4
"I thought the task was very boring.",interest,1,5,3
"I didn’t put much energy into this.",effort,1,2,6
"I felt like I was doing what I wanted to do while I was working on the task.",choice,0,4,4
"I didn’t try very hard to do well at this activity.",effort,1,2,6
"I felt pretty skilled at this task.",pressure,0,4,4
"I thought the task was very interesting.",interest,0,5,5
"I felt pressured while doing the task.",pressure,0,4,4
"I felt like I had to do the task.",choice,1,2,6
"I would describe the task as very enjoyable.",interest,0,2,2
"I did the task because I had no choice.",choice,1,2,6
"After working at this task for awhile, I felt pretty competent.",competence,0,5,5
"I tried very hard on this activity.",effort,0,6,6
