Question,Choice1,Choice2,Choice3,Choice4,Answer
What is impostor syndrome?,A diagnosable mental illness,A set of experiences related to self-doubt,A type of anxiety disorder,A condition that only affects high achievers,A set of experiences related to self-doubt
What is a common trigger for impostor syndrome?,Relaxing activities,Routine tasks,Important achievement-related tasks,Social gatherings,Important achievement-related tasks
Which percentage of people are estimated to experience impostor phenomena at some point?,30%,50%,70%,90%,70%
Why do people with impostor syndrome often struggle after receiving positive feedback?,They don't trust the person giving feedback,They believe their success was due to luck,They don't value their work,They are unable to remember the feedback,They believe their success was due to luck
What is NOT a way impostor syndrome can manifest?,Procrastination,Over-preparation,Fear of failure,Lack of ambition,Lack of ambition
Which of the following can contribute to the development of impostor syndrome?,Biology and cultural background,Physical health,Daily exercise,Lack of sleep,Biology and cultural background
How can people address feelings of impostor syndrome?,Isolate themselves to focus more,Talk to others about their experiences,Ignore feedback,Stop taking on new challenges,Talk to others about their experiences
What is a useful strategy for people who over-prepare due to impostor syndrome?,Prepare even more for the next task,Do nothing differently,Try preparing a little less and see the results,Avoid the task altogether,Try preparing a little less and see the results
What emotion do people with impostor syndrome often experience when facing tasks?,Excitement,Overconfidence,Anxiety,Boredom,Anxiety
What is one benefit of seeking help for anxiety or depression associated with impostor syndrome?,It can prevent these feelings from going untreated,It will eliminate all symptoms immediately,It allows people to ignore their feelings,It provides a temporary distraction,It can prevent these feelings from going untreated
