Question,Choice1,Choice2,Choice3,Choice4,Answer
What is a primary reason trauma bonding can feel like love?,It occurs only in healthy relationships,It often feels like a familiar connection,It is driven by mutual respect,It never involves emotional harm,It often feels like a familiar connection
What typically follows an abusive event in a cycle of abuse?,A break in the relationship,An apology and reassurance,Increased abuse,Complete withdrawal,An apology and reassurance
Why might someone feel compelled to stay in a trauma bond relationship?,They are convinced the abuse was their fault,They feel it is their only source of support,They are indifferent to the other person,They view abuse as a normal part of love,They are convinced the abuse was their fault
What does trauma bonding often lead a person to believe?,They need to leave the relationship immediately,The abuse will always continue without resolution,Their abuser genuinely cares for them,Healthy boundaries are unnecessary,Their abuser genuinely cares for them
"In a trauma bond, how are boundaries typically described?",Well-established and respected,Clear but not enforced,Blurred or nonexistent,Weak but easily strengthened,Blurred or nonexistent
What is a common effect of gaslighting in trauma-bonded relationships?,Reinforcement of trust in the relationship,Increased independence from the abuser,A decline in self-confidence,Growth of clear communication,A decline in self-confidence
What behavior might an abuser exhibit to isolate someone from others?,Encouraging family gatherings,Suggesting time apart for personal growth,Insisting friends are harmful influences,Setting up meetings with friends,Insisting friends are harmful influences
What is one way trauma bonding differs from healthy relationships?,It lacks open communication and trust,It involves mutual respect and understanding,It encourages independence,"It creates strong, positive boundaries",It lacks open communication and trust
How can a person in a trauma bond feel about their own worth?,They may believe they are undeserving of care,They feel completely in control,They view themselves as strong and independent,They feel overly confident in their decisions,They may believe they are undeserving of care
What is one step suggested for individuals in trauma-bonded relationships?,Continue with the relationship for stability,Isolate themselves further from others,Seek a trauma therapist for support,Accept the relationship as unchangeable,Seek a trauma therapist for support
