Question,Choice1,Choice2,Choice3,Choice4,Answer
What profession does the speaker identify as?,Life Coach,Licensed Marriage and Family Therapist,Psychiatrist,Social Worker,Licensed Marriage and Family Therapist
What is narcissistic personality disorder characterized by?,A need for physical fitness,A range of compulsive behaviors,An inflated sense of self-importance and a need for admiration,Mood swings and anxiety,An inflated sense of self-importance and a need for admiration
How does the speaker suggest dealing with concerns about narcissistic traits?,Research extensively online,Talk to family members for their opinions,Consult a mental health professional for a proper diagnosis,Avoid discussing the issue with others,Consult a mental health professional for a proper diagnosis
What is a common behavior of someone with narcissistic tendencies when they are not the center of attention?,They quietly observe,They encourage others to speak,They shift attention back to themselves,They leave the event,They shift attention back to themselves
What does 'gaslighting' refer to in the context of narcissism?,A form of expressing love and affection,A technique of invalidating someone's reality or memory,A way to celebrate someone's achievements,A term for passive-aggressive behavior,A technique of invalidating someone's reality or memory
"What is the underlying reason for narcissistic behavior, according to the speaker?",Natural inclination towards leadership,An attempt to protect fragile self-esteem,A result of physical health issues,A desire for fame,An attempt to protect fragile self-esteem
How does a narcissist typically respond to setting boundaries?,They respect the boundaries set,They often ignore or push back against the boundaries,They ask for clarification,They negotiate a compromise,They often ignore or push back against the boundaries
What trait is commonly absent in individuals with narcissistic personality disorder?,Empathy,Ambition,Creativity,Curiosity,Empathy
How might a narcissist react when blamed for an issue?,They take full responsibility,They may deflect blame onto others,They offer a sincere apology,They seek to learn from their mistakes,They may deflect blame onto others
Which of the following behaviors is not typical of someone with narcissistic traits?,Taking credit for others' achievements,Showing consistent empathy,Manipulating situations to maintain control,Seeking admiration and validation,Showing consistent empathy
