Question,Choice1,Choice2,Choice3,Choice4,Answer
What is one of the most common ways to get an infection?,Eating contaminated food,Touching your face after touching a contaminated surface,Drinking unclean water,Breathing in polluted air,Touching your face after touching a contaminated surface
Why do people often touch their faces without realizing it?,It is a conscious decision,It is a habit and automatic behavior,It helps them focus,It is a form of stress relief,It is a habit and automatic behavior
What is the first step to breaking a habit according to the explanation?,Make it attractive,Make it easy,Make it obvious,Make it satisfying,Make it obvious
How can one create a new signal to stop touching their face?,Wearing gloves,Using essential oils on hands,Putting a sign on the door,Wearing sunglasses,Using essential oils on hands
Why might gloves not be effective for preventing face-touching?,They are uncomfortable,They can give a false sense of security,They can easily be removed,They do not fit everyone,They can give a false sense of security
What can be used to make the new habit of not touching your face more attractive?,Knowing it keeps others safe,It is less work than the old habit,It saves time,It helps with skin care,Knowing it keeps others safe
Which of the following is an example of making the new habit easy to follow?,Using a watch on the opposite wrist,Carrying a fidget toy,Wearing gloves,Wearing makeup,Carrying a fidget toy
What is recommended to make a new habit satisfying?,Avoid tracking progress,Start the habit in private,Celebrate small wins and track progress,Forget about immediate rewards,Celebrate small wins and track progress
What is a suggested action if face-touching is related to itchy skin?,Applying lotion,Using makeup,Using ointments,Drinking more water,Using ointments
What does the speaker recommend for maintaining awareness about washing hands?,Put a sign by the door,Listen to music,Wear gloves,Use sanitizer only,Put a sign by the door
