Question,Choice1,Choice2,Choice3,Choice4,Answer
What is the speaker's profession?,Medical doctor,Clinical psychologist,Social worker,Psychiatrist,Clinical psychologist
"According to the speaker, what is often a struggle when trying to help someone going through a difficult time?",Finding the right advice,Knowing when to avoid them,Thinking of the right thing to say,Offering professional help,Thinking of the right thing to say
What is one of the main benefits of social support during difficult times?,It eliminates grief completely,It makes people forget their problems,It helps people heal and be resilient,It prevents further crises,It helps people heal and be resilient
What does the speaker suggest you should do if you have been thinking about reaching out to someone?,Wait for the perfect moment,Prepare a long message,Just try and reach out,Ask for advice from others first,Just try and reach out
What is the recommended approach when someone is talking about their struggles?,Give them advice on what to do,Try to fix their problem,Listen and be supportive,Share your own similar experiences,Listen and be supportive
Why is it suggested to ask 'How are you today?' instead of general questions?,To avoid making assumptions about their feelings,To distract them from their problems,To create a sense of normalcy,To show politeness,To avoid making assumptions about their feelings
What should you avoid doing when someone shares their difficulties?,Sharing your own beliefs,Offering to help in any way,Reaching out frequently,Talking about unrelated topics,Sharing your own beliefs
What is a suggested way to offer help to someone in crisis?,Ask them to list everything they need,Offer to do what you are good at,Give them general advice,Wait until they ask for help,Offer to do what you are good at
Why is it not helpful to say 'I know how it feels'?,Because it can sound insincere,Because everyone’s experience is different,Because it encourages them to share more,Because it shows a lack of empathy,Because everyone’s experience is different
What is one thing the speaker suggests NOT to do when offering support?,Be available to listen,Impose your beliefs on them,Ask how they are feeling right now,Offer specific ways you can help,Impose your beliefs on them
